city,population_density,date,year,month,day,dayofweek,quarter,is_weekend,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_capacity,pollution_mean,pollution_max,pm_ratio,hospital_admissions
Beijing,Rural,2020-02-03,2020,2,3,0,1,0,302,41.5,52.9,14.9,55.5,6.5,45,1789,93.35999999999999,302.0,0.7844990548204159,9
Beijing,Urban,2020-02-04,2020,2,4,1,1,0,204,14.8,43.5,10.2,31.3,28.3,35,1426,60.760000000000005,204.0,0.34022988505747126,5
Delhi,Urban,2020-02-05,2020,2,5,2,1,0,34,51.0,35.6,43.8,39.7,7.7,84,462,40.81999999999999,51.0,1.4325842696629212,14
Delhi,Urban,2020-02-06,2020,2,6,3,1,0,124,34.5,76.4,18.0,17.1,29.1,53,261,54.0,124.0,0.4515706806282722,7
Beijing,Suburban,2020-02-07,2020,2,7,4,1,0,441,29.1,60.6,27.1,43.1,18.6,91,1334,120.18000000000002,441.0,0.48019801980198024,11
Delhi,Suburban,2020-02-08,2020,2,8,5,1,1,361,38.2,58.3,46.9,45.4,16.7,42,1996,109.96,361.0,0.6552315608919383,12
Mexico City,Suburban,2020-02-09,2020,2,9,6,1,1,40,39.4,24.4,10.0,36.6,14.4,43,1108,30.080000000000002,40.0,1.6147540983606559,2
Beijing,Urban,2020-02-10,2020,2,10,0,1,0,378,27.7,76.6,43.5,38.9,39.1,30,1500,112.93999999999998,378.0,0.3616187989556136,8
London,Urban,2020-02-11,2020,2,11,1,1,0,257,59.1,49.7,37.6,59.3,34.7,47,637,92.54,257.0,1.1891348088531186,7
Los Angeles,Urban,2020-02-12,2020,2,12,2,1,0,422,51.0,31.0,22.2,30.1,12.0,77,968,111.26000000000002,422.0,1.6451612903225807,4
Beijing,Urban,2020-02-13,2020,2,13,3,1,0,432,10.7,38.6,31.6,47.1,-2.0,69,784,112.0,432.0,0.2772020725388601,9
London,Urban,2020-02-14,2020,2,14,4,1,0,347,36.3,81.2,34.1,40.1,10.3,44,756,107.74000000000001,347.0,0.4470443349753694,6
London,Urban,2020-02-15,2020,2,15,5,1,1,52,31.3,78.5,31.6,28.8,-0.4,27,1183,44.440000000000005,78.5,0.39872611464968155,16
Beijing,Urban,2020-02-16,2020,2,16,6,1,1,93,5.8,77.8,33.4,57.8,5.1,39,981,53.56,93.0,0.07455012853470437,11
Delhi,Suburban,2020-02-17,2020,2,17,0,1,0,415,37.4,39.3,20.2,28.5,30.1,22,775,108.08,415.0,0.9516539440203563,8
Mexico City,Rural,2020-02-18,2020,2,18,1,1,0,140,23.4,53.2,33.3,53.0,26.4,21,342,60.580000000000005,140.0,0.4398496240601503,10
Delhi,Rural,2020-02-19,2020,2,19,2,1,0,357,33.0,26.0,36.1,36.0,27.9,86,1679,97.62,357.0,1.2692307692307692,9
Delhi,Suburban,2020-02-20,2020,2,20,3,1,0,265,40.6,49.5,34.8,35.0,27.0,56,514,84.98,265.0,0.8202020202020203,16
Delhi,Suburban,2020-02-21,2020,2,21,4,1,0,270,46.1,25.5,32.1,26.4,10.7,76,1944,80.02000000000001,270.0,1.807843137254902,12
Los Angeles,Suburban,2020-02-22,2020,2,22,5,1,1,326,39.8,60.3,25.0,62.4,25.7,43,1773,102.7,326.0,0.6600331674958541,8
Mexico City,Urban,2020-02-23,2020,2,23,6,1,1,167,1.8,61.1,28.5,34.3,38.7,80,1777,58.54,167.0,0.029459901800327332,4
Los Angeles,Rural,2020-02-24,2020,2,24,0,1,0,235,34.9,32.9,24.8,33.9,38.0,26,1830,72.29999999999998,235.0,1.060790273556231,6
Los Angeles,Suburban,2020-02-25,2020,2,25,1,1,0,362,8.5,46.9,28.6,38.8,36.8,49,1954,96.96000000000001,362.0,0.18123667377398722,6
Beijing,Urban,2020-02-26,2020,2,26,2,1,0,386,19.1,36.9,13.8,43.8,35.0,43,1098,99.92,386.0,0.5176151761517616,8
Mexico City,Suburban,2020-02-27,2020,2,27,3,1,0,470,63.7,27.6,30.2,40.9,20.3,75,360,126.48000000000002,470.0,2.3079710144927534,13
Delhi,Urban,2020-02-28,2020,2,28,4,1,0,93,37.0,76.1,54.9,61.8,8.2,64,594,64.56,93.0,0.48620236530880423,10
Delhi,Urban,2020-02-29,2020,2,29,5,1,1,81,8.6,30.1,17.5,39.2,24.1,61,1141,35.279999999999994,81.0,0.2857142857142857,0
Mexico City,Rural,2020-03-01,2020,3,1,6,1,1,439,32.4,54.5,31.4,41.6,4.4,38,218,119.78,439.0,0.5944954128440366,6
Beijing,Urban,2020-03-02,2020,3,2,0,1,0,3,67.8,72.4,20.0,39.8,32.8,74,1136,40.6,72.4,0.9364640883977899,12
Mexico City,Urban,2020-03-03,2020,3,3,1,1,0,403,27.1,38.2,37.4,51.6,3.5,80,989,111.46,403.0,0.7094240837696335,11
Los Angeles,Urban,2020-03-04,2020,3,4,2,1,0,2,4.9,41.6,38.2,37.7,12.0,79,1966,24.880000000000003,41.6,0.11778846153846154,0
Mexico City,Suburban,2020-03-05,2020,3,5,3,1,0,240,33.8,61.9,38.4,27.4,10.1,44,423,80.29999999999998,240.0,0.5460420032310177,0
Mexico City,Urban,2020-03-06,2020,3,6,4,1,0,494,68.2,79.2,24.6,46.1,35.0,66,1036,142.42000000000002,494.0,0.8611111111111112,8
Mexico City,Urban,2020-03-07,2020,3,7,5,1,1,291,28.2,28.9,18.8,29.3,26.8,61,1051,79.24,291.0,0.9757785467128028,9
Beijing,Suburban,2020-03-08,2020,3,8,6,1,1,278,58.4,60.9,37.8,44.0,11.8,85,1648,95.82,278.0,0.9589490968801314,3
Delhi,Suburban,2020-03-09,2020,3,9,0,1,0,316,34.7,54.8,31.3,37.4,32.4,46,461,94.84,316.0,0.6332116788321168,8
Beijing,Rural,2020-03-10,2020,3,10,1,1,0,253,71.4,66.4,27.1,47.8,38.9,86,641,93.14,253.0,1.0753012048192772,9
Delhi,Urban,2020-03-11,2020,3,11,2,1,0,13,32.5,43.9,23.1,39.5,8.5,89,1632,30.4,43.9,0.7403189066059226,9
Beijing,Suburban,2020-03-12,2020,3,12,3,1,0,95,31.7,68.4,14.1,41.5,19.8,64,239,50.14,95.0,0.4634502923976608,9
London,Urban,2020-03-13,2020,3,13,4,1,0,332,44.3,96.6,23.1,41.5,14.3,81,1518,107.5,332.0,0.458592132505176,7
Delhi,Urban,2020-03-14,2020,3,14,5,1,1,152,25.5,63.4,40.4,33.7,24.9,50,483,63.0,152.0,0.4022082018927445,10
Delhi,Urban,2020-03-15,2020,3,15,6,1,1,185,29.1,30.3,50.1,45.9,32.7,29,1554,68.08,185.0,0.9603960396039605,13
Delhi,Rural,2020-03-16,2020,3,16,0,1,0,304,33.0,53.8,18.4,31.1,-3.7,68,612,88.06,304.0,0.6133828996282529,7
Delhi,Rural,2020-03-17,2020,3,17,1,1,0,22,60.7,72.3,24.2,38.0,17.7,37,1396,43.44,72.3,0.839557399723375,12
Mexico City,Urban,2020-03-18,2020,3,18,2,1,0,74,7.0,38.4,46.8,58.7,23.2,75,661,44.98,74.0,0.18229166666666669,7
Mexico City,Urban,2020-03-19,2020,3,19,3,1,0,301,17.2,36.4,30.2,24.8,-1.6,33,1694,81.91999999999999,301.0,0.4725274725274725,6
Los Angeles,Rural,2020-03-20,2020,3,20,4,1,0,250,59.0,50.9,18.2,36.0,32.7,74,1113,82.82,250.0,1.1591355599214146,12
Mexico City,Urban,2020-03-21,2020,3,21,5,1,1,329,36.1,50.5,32.2,46.8,14.0,25,799,98.92,329.0,0.7148514851485149,14
Beijing,Suburban,2020-03-22,2020,3,22,6,1,1,8,18.8,101.9,19.9,50.0,14.3,45,1711,39.720000000000006,101.9,0.1844946025515211,3
London,Urban,2020-03-23,2020,3,23,0,1,0,316,42.9,51.1,29.2,46.4,17.1,41,474,97.11999999999999,316.0,0.8395303326810175,12
Delhi,Suburban,2020-03-24,2020,3,24,1,1,0,371,33.7,39.3,20.3,58.9,6.2,79,1056,104.64000000000001,371.0,0.8575063613231554,6
Delhi,Suburban,2020-03-25,2020,3,25,2,1,0,491,26.1,67.3,45.8,51.3,-3.7,92,1348,136.29999999999998,491.0,0.38781575037147104,6
Delhi,Urban,2020-03-26,2020,3,26,3,1,0,100,20.9,21.4,41.5,53.9,6.4,41,722,47.540000000000006,100.0,0.9766355140186916,3
Los Angeles,Suburban,2020-03-27,2020,3,27,4,1,0,398,29.4,53.5,41.4,47.9,31.7,26,778,114.03999999999999,398.0,0.5495327102803738,7
Beijing,Urban,2020-03-28,2020,3,28,5,1,1,489,1.5,39.2,24.8,19.2,11.3,51,754,114.74000000000001,489.0,0.038265306122448974,1
Delhi,Urban,2020-03-29,2020,3,29,6,1,1,166,26.6,55.7,45.1,42.4,26.4,57,1802,67.16,166.0,0.4775583482944345,6
Beijing,Urban,2020-03-30,2020,3,30,0,1,0,481,50.3,31.5,28.7,46.5,20.8,83,1828,127.6,481.0,1.5968253968253967,14
Delhi,Suburban,2020-03-31,2020,3,31,1,1,0,278,44.7,64.8,60.8,35.4,1.2,80,317,96.74,278.0,0.6898148148148149,5
Mexico City,Suburban,2020-04-01,2020,4,1,2,2,0,46,28.4,69.4,22.9,33.0,23.7,63,1681,39.940000000000005,69.4,0.40922190201729103,5
Beijing,Suburban,2020-04-02,2020,4,2,3,2,0,369,14.3,53.6,26.9,46.8,31.2,51,664,102.12,369.0,0.2667910447761194,8
Beijing,Urban,2020-04-03,2020,4,3,4,2,0,238,26.8,18.4,37.4,38.4,31.5,56,1000,71.79999999999998,238.0,1.456521739130435,12
Beijing,Urban,2020-04-04,2020,4,4,5,2,1,37,0.3,80.8,40.7,37.4,31.1,67,1368,39.24,80.8,0.0037128712871287127,9
Mexico City,Urban,2020-04-05,2020,4,5,6,2,1,142,41.0,45.5,42.7,32.6,34.9,33,55,60.760000000000005,142.0,0.9010989010989011,13
Beijing,Urban,2020-04-06,2020,4,6,0,2,0,254,42.5,59.3,22.5,44.6,21.9,52,209,84.58000000000001,254.0,0.7166947723440136,2
Delhi,Urban,2020-04-07,2020,4,7,1,2,0,275,46.2,61.5,19.7,38.9,0.5,59,626,88.25999999999999,275.0,0.751219512195122,10
Delhi,Rural,2020-04-08,2020,4,8,2,2,0,232,50.1,47.0,24.9,55.1,-4.8,86,967,81.82000000000001,232.0,1.0659574468085107,16
Cairo,Urban,2020-04-09,2020,4,9,3,2,0,285,46.7,50.7,46.5,47.8,22.7,52,1013,95.34,285.0,0.9211045364891519,4
Tokyo,Urban,2020-04-10,2020,4,10,4,2,0,359,35.7,35.4,35.6,51.7,34.6,64,714,103.47999999999999,359.0,1.0084745762711866,5
Mexico City,Urban,2020-04-11,2020,4,11,5,2,1,379,27.1,26.8,31.8,45.9,27.5,44,868,102.12,379.0,1.0111940298507462,9
Delhi,Suburban,2020-04-12,2020,4,12,6,2,1,251,26.3,33.2,40.8,19.2,22.2,39,1573,74.1,251.0,0.7921686746987951,9
Cairo,Rural,2020-04-13,2020,4,13,0,2,0,320,33.5,57.1,23.8,17.0,27.3,62,1429,90.28,320.0,0.5866900175131349,5
Los Angeles,Rural,2020-04-14,2020,4,14,1,2,0,418,45.8,74.3,20.8,35.2,37.4,25,553,118.82000000000001,418.0,0.6164199192462988,9
Los Angeles,Urban,2020-04-15,2020,4,15,2,2,0,85,20.2,57.3,26.0,37.5,21.6,40,1874,45.2,85.0,0.3525305410122164,9
Beijing,Suburban,2020-04-16,2020,4,16,3,2,0,189,38.4,84.2,43.8,15.9,17.2,31,1489,74.26,189.0,0.4560570071258907,6
Delhi,Suburban,2020-04-17,2020,4,17,4,2,0,263,19.3,65.5,27.0,44.7,22.1,48,473,83.9,263.0,0.29465648854961835,10
Delhi,Urban,2020-04-18,2020,4,18,5,2,1,128,41.4,58.3,39.4,50.1,1.5,65,107,63.44,128.0,0.7101200686106347,13
Tokyo,Urban,2020-04-19,2020,4,19,6,2,1,469,24.0,73.3,34.7,25.5,34.1,35,1739,125.3,469.0,0.3274215552523875,6
Beijing,Urban,2020-04-20,2020,4,20,0,2,0,270,62.9,48.0,22.4,32.4,-0.2,51,287,87.13999999999999,270.0,1.3104166666666666,11
Delhi,Urban,2020-04-21,2020,4,21,1,2,0,16,29.7,66.2,43.1,38.3,34.0,33,1628,38.660000000000004,66.2,0.4486404833836858,3
Beijing,Rural,2020-04-22,2020,4,22,2,2,0,64,37.8,52.0,39.4,22.4,27.7,67,1280,43.120000000000005,64.0,0.7269230769230769,4
Mexico City,Suburban,2020-04-23,2020,4,23,3,2,0,21,15.4,56.8,36.3,24.0,30.5,67,1122,30.7,56.8,0.2711267605633803,2
Delhi,Suburban,2020-04-24,2020,4,24,4,2,0,129,42.2,58.2,24.4,35.5,33.8,73,1013,57.85999999999999,129.0,0.7250859106529209,4
London,Urban,2020-04-25,2020,4,25,5,2,1,123,50.0,34.8,32.4,35.6,15.5,52,1473,55.160000000000004,123.0,1.4367816091954024,13
Los Angeles,Rural,2020-04-26,2020,4,26,6,2,1,69,21.9,40.8,38.5,33.1,14.2,66,1075,40.66,69.0,0.5367647058823529,11
Los Angeles,Urban,2020-04-27,2020,4,27,0,2,0,382,33.2,83.7,23.0,38.7,-3.7,40,471,112.12,382.0,0.39665471923536444,15
Beijing,Suburban,2020-04-28,2020,4,28,1,2,0,149,20.3,2.9,7.7,46.5,36.7,46,1709,45.28,149.0,7.000000000000001,10
Mexico City,Urban,2020-04-29,2020,4,29,2,2,0,499,31.7,35.3,25.1,21.8,-1.0,50,1394,122.58,499.0,0.8980169971671389,3
Mexico City,Suburban,2020-04-30,2020,4,30,3,2,0,40,48.4,82.5,27.1,59.1,29.4,59,1227,51.42,82.5,0.5866666666666667,7
Mexico City,Suburban,2020-05-01,2020,5,1,4,2,0,90,65.1,31.0,35.2,41.7,39.6,27,1628,52.6,90.0,2.0999999999999996,11
Delhi,Urban,2020-05-02,2020,5,2,5,2,1,325,45.9,69.5,39.9,31.3,22.1,48,1141,102.32,325.0,0.660431654676259,10
Beijing,Rural,2020-05-03,2020,5,3,6,2,1,145,16.2,39.3,29.5,39.7,24.1,38,446,53.94,145.0,0.4122137404580153,6
Delhi,Urban,2020-05-04,2020,5,4,0,2,0,422,33.3,76.5,27.2,46.8,5.3,25,1620,121.16,422.0,0.4352941176470588,9
Beijing,Urban,2020-05-05,2020,5,5,1,2,0,431,46.1,66.7,20.6,44.7,31.8,49,1381,121.82000000000002,431.0,0.6911544227886057,11
Beijing,Suburban,2020-05-06,2020,5,6,2,2,0,178,11.3,65.7,19.1,49.4,13.7,70,574,64.7,178.0,0.1719939117199391,2
Delhi,Urban,2020-05-07,2020,5,7,3,2,0,325,39.7,54.9,41.1,27.9,5.6,27,1192,97.72,325.0,0.7231329690346084,10
Delhi,Suburban,2020-05-08,2020,5,8,4,2,0,223,37.6,53.5,40.1,40.3,16.3,39,689,78.9,223.0,0.702803738317757,11
Mexico City,Urban,2020-05-09,2020,5,9,5,2,1,155,67.0,27.8,10.6,55.7,5.3,45,276,63.220000000000006,155.0,2.4100719424460433,13
Delhi,Urban,2020-05-10,2020,5,10,6,2,1,28,35.0,43.8,40.8,30.4,28.5,76,974,35.6,43.8,0.7990867579908676,9
Tokyo,Urban,2020-05-11,2020,5,11,0,2,0,349,57.2,14.9,34.8,51.9,22.9,36,480,101.55999999999999,349.0,3.8389261744966445,8
Mexico City,Urban,2020-05-12,2020,5,12,1,2,0,153,31.2,38.5,47.2,78.5,28.7,68,113,69.67999999999999,153.0,0.8103896103896103,3
Beijing,Urban,2020-05-13,2020,5,13,2,2,0,89,45.0,66.1,37.4,41.8,4.4,55,975,55.86,89.0,0.6807866868381242,11
Mexico City,Suburban,2020-05-14,2020,5,14,3,2,0,61,40.0,64.9,26.8,34.0,20.3,29,1110,45.34,64.9,0.6163328197226502,15
Delhi,Suburban,2020-05-15,2020,5,15,4,2,0,355,60.6,16.6,14.2,44.8,35.7,52,589,98.24000000000001,355.0,3.650602409638554,12
Cairo,Suburban,2020-05-16,2020,5,16,5,2,1,190,56.0,49.7,46.3,46.5,21.9,38,808,77.7,190.0,1.1267605633802815,11
Beijing,Suburban,2020-05-17,2020,5,17,6,2,1,54,28.2,64.1,40.3,53.2,-0.6,85,794,47.96,64.1,0.43993759750390016,13
Los Angeles,Suburban,2020-05-18,2020,5,18,0,2,0,281,11.9,20.8,26.2,44.9,16.8,77,596,76.96,281.0,0.5721153846153846,3
Delhi,Suburban,2020-05-19,2020,5,19,1,2,0,286,48.2,71.8,44.1,48.3,7.8,51,970,99.68,286.0,0.6713091922005572,6
Beijing,Urban,2020-05-20,2020,5,20,2,2,0,413,60.8,53.1,43.2,13.0,25.2,64,523,116.62,413.0,1.1450094161958568,9
Beijing,Urban,2020-05-21,2020,5,21,3,2,0,244,12.1,67.0,46.2,38.2,32.4,56,140,81.5,244.0,0.18059701492537314,3
Tokyo,Suburban,2020-05-22,2020,5,22,4,2,0,97,61.5,47.8,26.7,23.8,33.1,63,368,51.36,97.0,1.286610878661088,10
Mexico City,Urban,2020-05-23,2020,5,23,5,2,1,218,22.5,35.1,31.4,62.0,11.1,39,1770,73.8,218.0,0.641025641025641,6
Beijing,Suburban,2020-05-24,2020,5,24,6,2,1,363,55.7,30.9,26.0,20.6,24.3,60,772,99.24,363.0,1.8025889967637543,9
Delhi,Urban,2020-05-25,2020,5,25,0,2,0,273,34.5,46.3,26.7,56.7,23.2,51,1000,87.44,273.0,0.7451403887688985,7
Beijing,Urban,2020-05-26,2020,5,26,1,2,0,137,54.1,75.0,25.2,45.5,11.7,58,505,67.36,137.0,0.7213333333333334,5
Beijing,Rural,2020-05-27,2020,5,27,2,2,0,494,41.4,84.6,26.0,46.2,13.3,41,1308,138.44,494.0,0.4893617021276596,12
Beijing,Urban,2020-05-28,2020,5,28,3,2,0,433,51.3,44.5,32.8,49.1,2.9,40,1673,122.13999999999999,433.0,1.152808988764045,8
Delhi,Urban,2020-05-29,2020,5,29,4,2,0,267,30.0,78.5,20.8,33.2,0.7,92,234,85.9,267.0,0.3821656050955414,11
London,Urban,2020-05-30,2020,5,30,5,2,1,402,14.6,73.6,30.3,28.1,36.9,38,141,109.72,402.0,0.19836956521739132,5
Tokyo,Suburban,2020-05-31,2020,5,31,6,2,1,76,51.4,51.4,39.0,21.6,34.7,50,1884,47.88,76.0,1.0,4
Delhi,Suburban,2020-06-01,2020,6,1,0,2,0,375,51.9,62.8,21.6,18.4,26.7,66,863,105.94000000000001,375.0,0.8264331210191083,11
Mexico City,Urban,2020-06-02,2020,6,2,1,2,0,95,29.2,34.2,41.1,37.7,34.3,63,1193,47.44,95.0,0.8538011695906432,8
Delhi,Urban,2020-06-03,2020,6,3,2,2,0,409,41.5,60.0,27.7,28.4,39.5,65,82,113.32000000000001,409.0,0.6916666666666667,15
Mexico City,Urban,2020-06-04,2020,6,4,3,2,0,120,26.7,87.5,32.7,36.0,8.9,71,364,60.58,120.0,0.30514285714285716,6
Delhi,Urban,2020-06-05,2020,6,5,4,2,0,271,13.9,39.8,48.6,54.5,0.8,23,1662,85.56,271.0,0.3492462311557789,2
Mexico City,Urban,2020-06-06,2020,6,6,5,2,1,365,40.6,33.9,19.5,37.3,-2.7,72,594,99.26,365.0,1.1976401179941003,6
Los Angeles,Urban,2020-06-07,2020,6,7,6,2,1,12,44.7,58.3,28.9,68.6,14.6,74,334,42.5,68.6,0.7667238421955404,3
Los Angeles,Urban,2020-06-08,2020,6,8,0,2,0,92,29.4,65.5,19.7,31.8,-2.9,38,1196,47.68,92.0,0.44885496183206103,10
Delhi,Suburban,2020-06-09,2020,6,9,1,2,0,110,54.6,69.1,44.5,36.7,15.6,63,75,62.98,110.0,0.7901591895803185,14
Tokyo,Rural,2020-06-10,2020,6,10,2,2,0,103,23.1,21.9,48.0,15.0,29.5,23,1381,42.2,103.0,1.0547945205479454,7
Delhi,Urban,2020-06-11,2020,6,11,3,2,0,393,53.4,16.7,26.5,33.2,39.2,68,1226,104.55999999999999,393.0,3.197604790419162,9
Delhi,Suburban,2020-06-12,2020,6,12,4,2,0,489,18.3,21.6,22.7,40.2,37.3,58,1796,118.36000000000001,489.0,0.8472222222222222,9
Mexico City,Urban,2020-06-13,2020,6,13,5,2,1,208,42.2,58.7,28.3,32.7,38.0,93,1565,73.97999999999999,208.0,0.7189097103918228,2
Beijing,Urban,2020-06-14,2020,6,14,6,2,1,378,36.7,56.4,35.4,68.8,-3.6,73,1954,115.05999999999999,378.0,0.6507092198581561,7
London,Urban,2020-06-15,2020,6,15,0,2,0,112,49.9,27.0,43.4,39.8,24.3,23,1384,54.42,112.0,1.848148148148148,8
London,Urban,2020-06-16,2020,6,16,1,2,0,190,41.3,36.9,32.3,26.7,1.6,42,470,65.44,190.0,1.119241192411924,13
Beijing,Urban,2020-06-17,2020,6,17,2,2,0,82,41.6,32.3,22.1,23.6,3.5,47,1617,40.31999999999999,82.0,1.2879256965944275,12
Cairo,Urban,2020-06-18,2020,6,18,3,2,0,292,34.8,81.8,32.2,34.3,17.3,64,1383,95.02000000000001,292.0,0.42542787286063566,8
Delhi,Urban,2020-06-19,2020,6,19,4,2,0,144,43.5,59.0,46.5,54.3,35.2,80,597,69.46000000000001,144.0,0.7372881355932204,6
Beijing,Urban,2020-06-20,2020,6,20,5,2,1,233,16.4,33.7,27.2,50.4,28.2,41,1652,72.14,233.0,0.48664688427299696,4
Delhi,Suburban,2020-06-21,2020,6,21,6,2,1,336,0.3,64.3,39.0,23.3,29.6,38,1072,92.58000000000001,336.0,0.004665629860031105,3
Tokyo,Suburban,2020-06-22,2020,6,22,0,2,0,308,64.9,72.5,15.4,21.6,17.9,24,722,96.47999999999999,308.0,0.8951724137931035,15
Delhi,Urban,2020-06-23,2020,6,23,1,2,0,222,10.0,32.8,19.9,23.3,8.0,33,534,61.6,222.0,0.30487804878048785,3
Delhi,Urban,2020-06-24,2020,6,24,2,2,0,476,62.0,24.8,31.8,34.8,6.5,66,225,125.87999999999997,476.0,2.5,12
Beijing,Suburban,2020-06-25,2020,6,25,3,2,0,444,24.3,52.9,34.3,27.7,19.9,56,1261,116.64000000000001,444.0,0.45935727788279773,4
São Paulo,Urban,2020-06-26,2020,6,26,4,2,0,392,57.6,24.4,43.5,36.4,33.5,42,188,110.78,392.0,2.3606557377049184,20
Tokyo,Urban,2020-06-27,2020,6,27,5,2,1,16,56.3,41.2,34.1,33.2,29.1,35,1448,36.160000000000004,56.3,1.3665048543689318,14
Los Angeles,Suburban,2020-06-28,2020,6,28,6,2,1,261,33.3,41.5,21.0,25.3,5.0,78,1537,76.42,261.0,0.8024096385542168,8
